Fred Astaire
Lauren Bacall
Brigitte Bardot
John Belushi
Ingmar Bergman
Ingrid Bergman
Humphrey Bogart
Marlon Brando
James Cagney
Gary Cooper
Bette Davis
Doris Day
Olivia de Havilland
James Dean
Georges Delerue
Marlene Dietrich
Kirk Douglas
Henry Fonda
Joan Fontaine
Clark Gable
Judy Garland
John Gielgud
Jerry Goldsmith
Cary Grant
Alec Guinness
Rita Hayworth
Audrey Hepburn
Katharine Hepburn
Charlton Heston
Alfred Hitchcock
William Holden
James Horner
Buster Keaton
Gene Kelly
Grace Kelly
Stanley Kubrick
Akira Kurosawa
Alan Ladd
Veronica Lake
Burt Lancaster
Bruce Lee
Vivien Leigh
Sophia Loren
Peter Lorre
Groucho Marx
James Mason
Marcello Mastroianni
Robert Mitchum
Marilyn Monroe
Alfred Newman
Paul Newman
David Niven
Gregory Peck
Tyrone Power
Anthony Quinn
Nino Rota
Jane Russell
Randolph Scott
Max Steiner
James Stewart
Elizabeth Taylor
Shirley Temple
Gene Tierney
Spencer Tracy
Franz Waxman
John Wayne
Orson Welles
Natalie Wood
Victor Young
Alan Miller
Li Gong
Henner Hofmann
Yelena Koreneva
Aleksei Korenev
John Cleese
Brad Pitt
J Reifel
Woody Allen
Gillian Anderson
Pamela Anderson
Jennifer Aniston
Rowan Atkinson
Dan Aykroyd
Kevin Bacon
Fairuza Balk
Antonio Banderas
Adrienne Barbeau
Drew Barrymore
Kim Basinger
Luc Besson
Kenneth Branagh
Matthew Broderick
Pierce Brosnan
Sandra Bullock
Steve Buscemi
Nicolas Cage
James Cameron
Neve Campbell
John Carpenter
Jim Carrey
Phoebe Cates
Charles Chaplin
George Clooney
Jennifer Connelly
Sean Connery
Kevin Costner
Wes Craven
Russell Crowe
Jamie Lee Curtis
John Cusack
Claire Danes
Geena Davis
Robert De Niro
John Denver
Johnny Depp
Bo Derek
Leonardo DiCaprio
Michael Douglas
David Duchovny
Clint Eastwood
Erika Eleniak
Cary Elwes
Sherilyn Fenn
Ralph Fiennes
Colin Firth
Harrison Ford
Morgan Freeman
Richard Gere
Gina Gershon
Mel Gibson
Whoopi Goldberg
Jeff Goldblum
Linda Hamilton
Tom Hanks
Ethan Hawke
Salma Hayek
Anne Heche
Dustin Hoffman
Anthony Hopkins
Ron Howard
Helen Hunt
Elizabeth Hurley
Milla Jovovich
Ashley Judd
Harvey Keitel
Nicole Kidman
Val Kilmer
Stephen King
Nastassja Kinski
Kevin Kline
Diane Lane
David Lean
