fred astaire

brigitte bardot

john belushi

ingmar bergman

humphrey bogart

marlon brando

bette davis

doris day

olivia de havilland

james dean

marlene dietrich

henry fonda

clark gable

judy garland

john gielgud

jerry goldsmith

cary grant

alec guinness

rita hayworth

audrey hepburn

katharine hepburn

alfred hitchcock

william holden

james horner

buster keaton

grace kelly

stanley kubrick

alan ladd

veronica lake

peter lorre

marcello mastroianni

robert mitchum

david niven

gregory peck

tyrone power

nino rota

jane russell

randolph scott

max steiner

james stewart

shirley temple

spencer tracy

franz waxman

orson welles

natalie wood

alan miller

li gong

henner hofmann

yelena koreneva

john cleese

brad pitt

j reifel

woody allen

pamela anderson

rowan atkinson

dan aykroyd

kevin bacon

antonio banderas

adrienne barbeau

drew barrymore

kim basinger

luc besson

kenneth branagh

matthew broderick

pierce brosnan

sandra bullock

nicolas cage

john carpenter

phoebe cates

jennifer connelly

kevin costner

john cusack

claire danes

geena davis

john denver

johnny depp

bo derek

michael douglas

david duchovny

clint eastwood

erika eleniak

cary elwes

sherilyn fenn

colin firth

harrison ford

gina gershon

mel gibson

whoopi goldberg

tom hanks

ethan hawke

salma hayek

anne heche

dustin hoffman

ron howard

elizabeth hurley

milla jovovich

ashley judd

nicole kidman

val kilmer

diane lane

heather locklear

jennifer lopez

traci lords

george lucas

dolph lundgren

steve martin

ewan mcgregor

julianne moore

bill murray

mike myers

jack nicholson

gary oldman

bill paxton

ryan phillippe

river phoenix

natalie portman

keanu reeves

molly ringwald

mimi rogers

mia sara

susan sarandon

arnold schwarzenegger

joan severance

charlie sheen

brooke shields

elisabeth shue

christian slater

mira sorvino

kevin spacey

oliver stone

sharon stone

quentin tarantino

charlize theron

uma thurman

jennifer tilly

john travolta

shannon tweed

skeet ulrich

mark wahlberg

robin williams

bruce willis

robert ellis

robert ellis

isabelle adjani

ben affleck

alan alda

stephanie zimbalist

joan allen

nancy allen

kirstie alley

robert altman

ursula andress

julie andrews

gabrielle anwar

anne archer

fanny ardant

alan arkin

david arquette

rosanna arquette

richard attenborough

pernilla august

scott baio

brenda bakke

adam baldwin

alec baldwin

stephen baldwin

john barry

angela bassett

michelle bauer

sean bean

amanda bearse

kate beckinsale

tom berenger

candice bergen

juliette binoche

thora birch

jacqueline bisset

honor blackman

linda blair

mel blanc

brian blessed

helena bonham carter

ernest borgnine

bruce boxleitner

annie rosar

amy brenneman

jeff bridges

charles bronson

